Region;Ukrainian Name;Russian Name;Longitude_WGS84;Latitude_WGS84
Донецька;АВДІЇВКА;Авдеевка;37.72602;48.15445
Кіровоградська;ОЛЕКСАНДРІЯ;Александрия;33.11623;48.67596
Луганська;ОЛЕКСАНДРІВСЬК;Александровск;39.18514;48.5927
Луганська;АЛМАЗНА;Алмазная;38.59033;48.52266
Крим;АЛУПКА;Алупка;34.04663;44.41772
Крим;АЛУШТА;Алушта;34.38738;44.66148
Луганська;АЛЧЕВСЬК;Алчевск;38.78174;48.48816
Донецька;АМВРОСІЇВКА;Амвросиевка;38.46399;47.78744
Житомирська;АНДРУШІВКА;Андрушёвка;29.01781;50.02075
Луганська;АНТРАЦИТ;Антрацит;39.08884;48.11651
Дніпропетровська;АПОСТОЛОВЕ;Апостолово;33.72013;47.66298
Крим;АРМЯНСЬК;Армянск;33.69335;46.10258
Одеська;АРЦИЗ;Арциз;29.42637;45.98654
Сумська;ОХТИРКА;Ахтырка;34.89773;50.30931
Харківська;БАЛАКЛІЯ;Балаклея;36.84608;49.45495
Одеська;БАЛТА;Балта;29.62034;47.93592
Харківська;БАРВІНКОВЕ;Барвенково;37.0253;48.91268
Чернігівська;БАТУРИН;Батурин;32.89238;51.32744
Крим;БАХЧИСАРАЙ;Бахчисарай;33.85574;44.7559
Миколаївська;БАШТАНКА;Баштанка;32.44898;47.39691
Одеська;БІЛГОРОД-ДНІСТРОВСЬКИЙ;Белгород-Днестровский;30.31677;46.18137
Львівська;БЕЛЗ;Белз;24.0144;50.38244
Донецька;БІЛИЦЬКЕ;Белицкое;37.17121;48.40696
Крим;БІЛОГІРСЬК;Белогорск;34.59474;45.05836
Донецька;БІЛОЗЕРСЬКЕ;Белозёрское;37.05791;48.53313
Сумська;БІЛОПІЛЛЯ;Белополье;34.31219;51.14582
Одеська;БІЛЯЇВКА;Беляевка;30.20107;46.48247
Житомирська;БЕРДИЧІВ;Бердичев;28.57905;49.89475
Запорізька;БЕРДЯНСЬК;Бердянск;36.7987;46.76365
Закарпатська;БЕРЕГОВЕ;Берегово;22.64591;48.20543
Тернопільська;БЕРЕЖАНИ;Бережаны;24.93691;49.44775
Рівненська;БЕРЕЗНЕ;Березно;26.74072;50.99853
Волинська;БЕРЕСТЕЧКО;Берестечко;25.26581;50.48956
Херсонська;БЕРИСЛАВ;Берислав;33.43397;46.84107
Вінницька;БЕРШАДЬ;Бершадь;29.5182;48.36611
Кіровоградська;БОБРИНЕЦЬ;Бобринец;32.15973;48.06141
Львівська;БІБРКА;Бобрка;24.29438;49.63915
Чернігівська;БОБРОВИЦЯ;Бобровица;31.39189;50.74774
Харківська;БОГОДУХІВ;Богодухов;35.52378;50.161
Одеська;БОЛГРАД;Болград;28.60256;45.69437
Івано-Франківська;БОЛЕХІВ;Болехов;23.85733;49.06786
Чернігівська;БОРЗНА;Борзна;32.427;51.25397
Львівська;БОРИСЛАВ;Борислав;23.41513;49.2869
Тернопільська;БОРЩІВ;Борщёв;26.03434;48.80367
Львівська;БРОДИ;Броды;25.16573;50.06967
Луганська;БРЯНКА;Брянка;38.64303;48.51339
Івано-Франківська;БУРШТИН;Бурштын;24.63255;49.25772
Сумська;БУРИНЬ;Бурынь;33.82742;51.19594
Львівська;БУСЬК;Буск;24.61504;49.97234
Тернопільська;БУЧАЧ;Бучач;25.38752;49.06408
Харківська;ВАЛКИ;Валки;35.6139;49.83759
Черкаська;ВАТУТІНЕ;Ватутино;31.05938;49.01911
Львівська;ВЕЛИКІ МОСТИ;Великие Мосты;24.13748;50.24048
Дніпропетровська;ВЕРХНЬОДНІПРОВСЬК;Верхнеднепровск;34.33519;48.62841
Дніпропетровська;ВЕРХІВЦЕВЕ;Верховцево;34.24318;48.48318
Чернівецька;ВИЖНИЦЯ;Вижница;25.17946;48.24217
Одеська;ВИЛКОВЕ;Вилково;29.58635;45.40169
Вінницька;ВІННИЦЯ;Винница;28.48463;49.23523
Закарпатська;ВИНОГРАДІВ;Виноградов;23.04674;48.14072
Волинська;ВОЛОДИМИР-ВОЛИНСЬКИЙ;Владимир-Волынский;24.30777;50.8497
Миколаївська;ВОЗНЕСЕНСЬК;Вознесенск;31.53282;47.62024
Донецька;ВОЛНОВАХА;Волноваха;37.50234;47.59432
Хмельницька;ВОЛОЧИСЬК;Волочиск;26.19724;49.53649
Харківська;ВОВЧАНСЬК;Волчанск;36.9441;50.28751
Дніпропетровська;ВІЛЬНОГІРСЬК;Вольногорск;34.00955;48.47013
Запорізька;ВІЛЬНЯНСЬК;Вольнянск;35.43228;47.94313
Полтавська;ГАДЯЧ;Гадяч;33.98483;50.36631
Кіровоградська;ГАЙВОРОН;Гайворон;29.86633;48.33692
Вінницька;ГАЙСИН;Гайсин;29.39375;48.81054
Івано-Франківська;ГАЛИЧ;Галич;24.72834;49.12451
Херсонська;ГЕНІЧЕСЬК;Геническ;34.79061;46.16781
Чернівецька;ГЕРЦА;Герца;26.26196;48.1493
Львівська;ГЛИНЯНИ;Глиняны;24.52131;49.82059
Полтавська;ГЛОБИНЕ;Глобино;33.21939;49.40328
Сумська;ГЛУХІВ;Глухов;33.9093;51.67831
Вінницька;ГНІВАНЬ;Гнивань;28.33632;49.09326
Херсонська;ГОЛА ПРИСТАНЬ;Голая Пристань;32.55558;46.52504
Донецька;ГОРЛІВКА;Горловка;38.04308;48.3534
Донецька;ГІРНИК;Горняк;37.3712;48.05763
Івано-Франківська;ГОРОДЕНКА;Городенка;25.49154;48.67613
Черкаська;ГОРОДИЩЕ;Городище;31.44528;49.28947
Львівська;ГОРОДОК;Городок;23.67159;49.78695
Хмельницька;ГОРОДОК;Городок;26.56408;49.17137
Волинська;ГОРОХІВ;Горохов;24.7716;50.50312
Луганська;ГІРСЬКЕ;Горское;38.49609;48.72608
Полтавська;ГРЕБІНКА;Гребёнка;32.44537;50.1186
Запорізька;ГУЛЯЙПОЛЕ;Гуляйполе;36.25265;47.66539
Донецька;ДЕБАЛЬЦЕВЕ;Дебальцево;38.4034;48.3213
Хмельницька;ДЕРАЖНЯ;Деражня;27.42256;49.26853
Харківська;ДЕРГАЧІ;Дергачи;36.12116;50.10795
Крим;ДЖАНКОЙ;ДжанкойукрДжанкой;34.41141;45.71102
Запорізька;ДНІПРОРУДНЕ;Днепрорудное;34.99849;47.38506
Львівська;ДОБРОМИЛЬ;Добромиль;22.78565;49.57357
