,Region,Ukrainian Name,Russian Name,Longitude_WGS84,Latitude_WGS84,Freq,Date
11,Крим,АРМЯНСЬК,Армянск,33.69335,46.10258,1.0,2022-03-01
13,Сумська,ОХТИРКА,Ахтырка,34.89773,50.30931,5.0,2022-03-01
28,Запорізька,БЕРДЯНСЬК,Бердянск,36.7987,46.76365,5.0,2022-03-01
57,Вінницька,ВІННИЦЯ,Винница,28.48463,49.23523,1.0,2022-03-01
60,Миколаївська,ВОЗНЕСЕНСЬК,Вознесенск,31.53282,47.62024,1.0,2022-03-01
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,13.0,2022-03-01
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,49.0,2022-03-01
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,110.0,2022-03-01
100,Донецька,ЄНАКІЄВЕ,Енакиево,38.21869,48.27204,1.0,2022-03-01
120,Донецька,ЗУГРЕС,Зугрэс,38.27808,48.01008,3.0,2022-03-01
121,Івано-Франківська,ІВАНО-ФРАНКІВСЬК,Ивано-Франковск,24.70602,48.92074,1.0,2022-03-01
122,Одеська,ІЗМАЇЛ,Измаил,28.83551,45.3471,1.0,2022-03-01
123,Харківська,ІЗЮМ,Изюм,37.26768,49.19128,4.0,2022-03-01
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,403.0,2022-03-01
144,Сумська,КОНОТОП,Конотоп,33.22008,51.24779,3.0,2022-03-01
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,11.0,2022-03-01
156,Крим,КРАСНОПЕРЕКОПСЬК,Красноперекопск,33.79377,45.95272,1.0,2022-03-01
159,Полтавська,КРЕМЕНЧУК,Кременчуг,33.42899,49.08949,1.0,2022-03-01
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,19.0,2022-03-01
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,18.0,2022-03-01
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,3.0,2022-03-01
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,117.0,2022-03-01
181,Запорізька,МЕЛІТОПОЛЬ,Мелитополь,35.37563,46.84673,9.0,2022-03-01
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,8.0,2022-03-01
