,Region,Ukrainian Name,Russian Name,Longitude_WGS84,Latitude_WGS84,Freq
0,Донецька,АВДІЇВКА,Авдеевка,37.72602,48.15445,1.0
12,Одеська,АРЦИЗ,Арциз,29.42637,45.98654,3.0
14,Харківська,БАЛАКЛІЯ,Балаклея,36.84608,49.45495,1.0
28,Запорізька,БЕРДЯНСЬК,Бердянск,36.7987,46.76365,87.0
57,Вінницька,ВІННИЦЯ,Винница,28.48463,49.23523,5.0
61,Донецька,ВОЛНОВАХА,Волноваха,37.50234,47.59432,25.0
70,Херсонська,ГЕНІЧЕСЬК,Геническ,34.79061,46.16781,15.0
77,Донецька,ГОРЛІВКА,Горловка,38.04308,48.3534,10.0
87,Донецька,ДЕБАЛЬЦЕВЕ,Дебальцево,38.4034,48.3213,2.0
93,Донецька,ДОКУЧАЄВСЬК,Докучаевск,37.67589,47.78229,1.0
95,Донецька,ДОНЕЦЬК,Донецк,37.86764,47.96648,55.0
100,Донецька,ЄНАКІЄВЕ,Енакиево,38.21869,48.27204,4.0
105,Житомирська,ЖИТОМИР,Житомир,28.65749,50.27447,25.0
120,Донецька,ЗУГРЕС,Зугрэс,38.27808,48.01008,2.0
121,Івано-Франківська,ІВАНО-ФРАНКІВСЬК,Ивано-Франковск,24.70602,48.92074,12.0
122,Одеська,ІЗМАЇЛ,Измаил,28.83551,45.3471,1.0
134,Херсонська,КАХОВКА,Каховка,33.50469,46.81274,3.0
137,м.Київ,КИЇВ,Киев,30.5595,50.44029,793.0
144,Сумська,КОНОТОП,Конотоп,33.22008,51.24779,1.0
147,Житомирська,КОРОСТЕНЬ,Коростень,28.64101,50.94807,2.0
150,Чернігівська,КОРЮКІВКА,Корюковка,32.2514,51.77462,2.0
153,Донецька,КРАМАТОРСЬК,Краматорск,37.56603,48.72814,19.0
159,Полтавська,КРЕМЕНЧУК,Кременчуг,33.42899,49.08949,2.0
166,Луганська,ЛИСИЧАНСЬК,Лисичанск,38.36408,48.91165,1.0
169,Луганська,ЛУГАНСЬК,Луганск,39.32041,48.55751,12.0
172,Львівська,ЛЬВІВ,Львов,24.01783,49.84308,18.0
175,Донецька,МАКІЇВКА,Макеевка,37.89425,48.0154,2.0
179,Донецька,МАРІУПОЛЬ,Мариуполь,37.56449,47.10457,129.0
180,Донецька,МАР'ЇНКА,Марьинка,37.50406,47.94176,1.0
181,Запорізька,МЕЛІТОПОЛЬ,Мелитополь,35.37563,46.84673,9.0
197,Миколаївська,МИКОЛАЇВ,Николаев,32.04574,46.95883,45.0
215,Одеська,ОДЕСА,Одесса,30.73065,46.46891,37.0
228,Полтавська,ПИРЯТИН,Пирятин,32.50957,50.24443,1.0
232,Полтавська,ПОЛТАВА,Полтава,34.53741,49.57546,2.0
243,Одеська,РОЗДІЛЬНА,Раздельная,30.0507,46.85377,2.0
247,Луганська,РОВЕНЬКИ,Ровеньки,39.36727,48.0899,6.0
248,Рівненська,РІВНЕ,Ровно,26.25235,50.61916,1.0
263,м Севастополь,СЕВАСТОПОЛЬ,Севастополь,33.51482,44.58938,6.0
267,Крим,СІМФЕРОПОЛЬ,Симферополь,34.11014,44.95829,1.0
273,Донецька,СНІЖНЕ,Снежное,38.75152,48.04888,1.0
279,Луганська,СТАРОБІЛЬСЬК,Старобельск,38.93074,49.2917,1.0
288,Сумська,СУМИ,Сумы,34.79851,50.90773,8.0
290,Луганська,ЩАСТЯ,Счастье,39.24351,48.73621,1.0
291,Херсонська,ТАВРІЙСЬК,Таврийск,33.41028,46.74888,3.0
297,Запорізька,ТОКМАК,Токмак,35.69544,47.25374,1.0
298,Сумська,ТРОСТЯНЕЦЬ,Тростянец,34.96588,50.48647,1.0
307,Закарпатська,УЖГОРОД,Ужгород,22.2971,48.6212,3.0
309,Черкаська,УМАНЬ,Умань,30.19884,48.72454,1.0
312,Харківська,ХАРКІВ,Харьков,36.22982,49.98934,393.0
313,Херсонська,ХЕРСОН,Херсон,32.59231,46.65481,86.0
315,Хмельницька,ХМЕЛЬНИЦЬКИЙ,Хмельницкий,26.97435,49.4165,1.0
325,Черкаська,ЧЕРКАСИ,Черкассы,32.02223,49.46594,7.0
326,Чернігівська,ЧЕРНІГІВ,Чернигов,31.29009,51.49807,29.0
331,Харківська,ЧУГУЇВ,Чугуев,36.68404,49.84308,2.0
339,Запорізька,ЕНЕРГОДАР,Энергодар,34.655,47.49922,1.0
342,Крим,ЯЛТА,Ялта,34.15426,44.49291,1.0
344,Донецька,ЯСИНУВАТА,Ясиноватая,37.88584,48.11565,2.0
