Название СМИ;Ссылка
Nexta live;https://t.me/nexta_live
RESSENTIMENT;https://t.me/ressentiment_channel
Пивоваров (Редакция);https://t.me/redakciya_channel
Varlamov News;https://t.me/varlamov_news
Медуза — LIVE;https://t.me/meduzalive
СИЛОВИКИ 🇷🇺;https://t.me/SIL0VIKI
Постовой;https://t.me/Postovo
Милитарист;https://t.me/infantmilitario
brief ®️незыгарь;https://t.me/russicabrief
Раньше всех. Ну почти.;https://t.me/bbbreaking
moloko plus;https://t.me/moloko_plus
Чай з малинавым варэннем;https://t.me/belteanews
Кровавая барыня;https://t.me/bloodysx
Осторожно, новости;https://t.me/ostorozhno_novosti
Хуевый Харьков 🇺🇦;https://t.me/hueviykharkov
Беспощадный пиарщик;https://t.me/prbezposhady
Baza;https://t.me/bazabazon
Mash;https://t.me/breakingmash
Россия в глобальной политике;https://t.me/ru_global
Россия сейчас;https://t.me/donbass_novosti_peregovori
Хтонь;https://t.me/vasilev_news
Ньюсач/Двач;https://t.me/ru2ch_news
RT на русском;https://t.me/rt_russian
Пул Первого;https://t.me/pul_1
Подъём;https://t.me/pdmnews
Дмитрий Гордон;https://t.me/dmytrogordon_official
ГОРДОН;https://t.me/gordonuacom
Несемось!;https://t.me/Katimsya
Сегодня;https://t.me/Segodnya_life
ГОНЧАРЕНКО;https://t.me/oleksiihoncharenko
Инсайдер Украина Новости Война;https://t.me/insiderUKR
Караульный Z;https://t.me/karaulny
Sputnik Ближнее зарубежье;https://t.me/sputniklive
Телеканал Дождь;https://t.me/tvrain
Медиазона;https://t.me/mediazzzona
УНИАН - новости Украины | новини України | Ukraine news;https://t.me/uniannet
Главред - Новости Украины | Война с Россией;https://t.me/glavredinfo
REVERSE SIDE OF Z MEDAL;https://t.me/grey_zone
Товарищ Z майор;https://t.me/MayorFSB
ОПЕР Слил;https://t.me/operdrain
Шпион, которому никто не пишет;https://t.me/genshab
Контора Пишет;https://t.me/Contora_Pishet
РИА Новости;https://t.me/rian_ru
Жёлтые СЛИВЫ;https://t.me/zheltyeslivy
